,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
88,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,42.7908,0.0,4,2,-0.0045952124999999,I,tetragonal
89,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fm-3m,43.5735,0.0,4,2,0.32281108,F,cubic
90,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,85.386,0.0,8,2,-0.0343846212500001,P,hexagonal
91,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pm-3m,42.7819,0.0,4,2,-0.0079884825,P,cubic
92,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,42.593,0.0,4,2,-0.0056638649999998,I,tetragonal
93,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,42.6485,0.0,4,2,-0.0061799224999994,I,tetragonal
94,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.27,0.0,24,2,0.1854375887500007,P,hexagonal
95,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.402,0.0,24,2,0.1817768700000002,P,hexagonal
96,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.43,0.0,13,2,0.138596076923077,R,trigonal
97,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,142.897,0.0,13,2,0.1678800223076925,R,trigonal
98,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.666,0.0,13,2,0.1594538776923079,R,trigonal
99,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.769,0.0,30,2,0.0650315816666667,P,tetragonal
100,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,329.211,0.0,30,2,0.0700565780000005,P,tetragonal
101,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.906,0.0,30,2,0.0618875083333335,P,tetragonal
102,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.235,0.0,30,2,0.0614124566666665,P,tetragonal
103,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,329.269,0.0,30,2,0.0839339086666664,P,tetragonal
104,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,329.022,0.0,30,2,0.0879355316666666,P,tetragonal
105,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.346,0.0,30,2,0.0856557529999994,P,tetragonal
106,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.933,0.0,29,2,0.095403139999999,I,cubic
107,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.349,0.0,13,2,0.141752880769231,R,trigonal
108,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.447,0.0,13,2,0.1608013607692304,R,trigonal
109,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.588,0.0,13,2,0.1470137653846159,R,trigonal
110,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,134.027,0.0,12,2,0.1743047041666668,C,orthorhombic
111,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,134.391,0.0,12,2,0.1835819416666666,P,hexagonal
112,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.361,0.0,24,2,0.1766893408333333,P,hexagonal
113,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.558,0.0,24,2,0.1934888770833325,P,hexagonal
114,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.955,0.0,24,2,0.1756689962499997,P,hexagonal
115,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.59,0.0,29,2,0.0967944568965508,I,cubic
116,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.266,0.0,24,2,0.2061643620833339,P,hexagonal
