,cubic,orthorhombic,trigonal,hexagonal,tetragonal,monoclinic,triclinic
145,1.315219004,1.378487353,1.315671034,1.315366948,1.312393901,1.335184694,1.329689161
146,1.315219004,1.378487353,1.315671034,1.315366948,1.3164446,1.335184694,1.329689161
147,1.31884312,1.378487353,1.315671034,1.315366948,1.3164446,1.335184694,1.329689161
148,1.31884312,1.378487353,1.315671034,1.32198862,1.3164446,1.335184694,1.329689161
149,1.31884312,1.378487353,1.319247955,1.32198862,1.3164446,1.335184694,1.329689161
150,1.31884312,1.378487353,1.319247955,1.32198862,1.320268502,1.335184694,1.329689161
151,1.32238186,1.378487353,1.319247955,1.32198862,1.320268502,1.335184694,1.329689161
152,1.32238186,1.378487353,1.32273994,1.32198862,1.320268502,1.335184694,1.329689161
153,1.32238186,1.378487353,1.32273994,1.32198862,1.324492222,1.335184694,1.329689161
154,1.32238186,1.378487353,1.32273994,1.327989695,1.324492222,1.335184694,1.329689161
155,1.325952524,1.378487353,1.32273994,1.327989695,1.324492222,1.335184694,1.329689161
156,1.325952524,1.378487353,1.325812954,1.327989695,1.324492222,1.335184694,1.329689161
157,1.325952524,1.378487353,1.325812954,1.327989695,1.328862435,1.335184694,1.329689161
158,1.325952524,1.378487353,1.328910305,1.327989695,1.328862435,1.335184694,1.329689161
159,1.329416166,1.378487353,1.328910305,1.327989695,1.328862435,1.335184694,1.329689161
160,1.329416166,1.378487353,1.328910305,1.33378626,1.328862435,1.335184694,1.329689161
161,1.329416166,1.378487353,1.328910305,1.33378626,1.33406987,1.335184694,1.329689161
162,1.329416166,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.329689161
163,1.332855182,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.329689161
164,1.332855182,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.343939152
165,1.332855182,1.378487353,1.33431179,1.33378626,1.33406987,1.335184694,1.343939152
166,1.339467951,1.378487353,1.33431179,1.33378626,1.33406987,1.335184694,1.343939152
167,1.339467951,1.378487353,1.33431179,1.339414576,1.33406987,1.335184694,1.343939152
168,1.339467951,1.378487353,1.33431179,1.339414576,1.339496823,1.335184694,1.343939152
169,1.339467951,1.378487353,1.336854271,1.339414576,1.339496823,1.335184694,1.343939152
170,1.339467951,1.378487353,1.336854271,1.339414576,1.339496823,1.347519347,1.343939152
171,1.339467951,1.378487353,1.342619479,1.339414576,1.339496823,1.347519347,1.343939152
172,1.339467951,1.378487353,1.342619479,1.344560399,1.339496823,1.347519347,1.343939152
173,1.342279778,1.378487353,1.342619479,1.344560399,1.339496823,1.347519347,1.343939152
174,1.342279778,1.378487353,1.342619479,1.344560399,1.345756835,1.347519347,1.343939152
175,1.345591887,1.378487353,1.342619479,1.344560399,1.345756835,1.347519347,1.343939152
176,1.345591887,1.378487353,1.353233144,1.344560399,1.345756835,1.347519347,1.343939152
177,1.345591887,1.378487353,1.353233144,1.344560399,1.345756835,1.347519347,1.358723387
178,1.345591887,1.378487353,1.353233144,1.360500219,1.345756835,1.347519347,1.358723387
179,1.34884443,1.378487353,1.353233144,1.360500219,1.345756835,1.347519347,1.358723387
180,1.34884443,1.378487353,1.353233144,1.360500219,1.351693584,1.347519347,1.358723387
181,1.34884443,1.378487353,1.353233144,1.360500219,1.351693584,1.354157665,1.358723387
182,1.352170024,1.378487353,1.353233144,1.360500219,1.351693584,1.354157665,1.358723387
183,1.352170024,1.378487353,1.353233144,1.360500219,1.357277267,1.354157665,1.358723387
